"V1" "V2"
"722" 75682 90.16
"723" 79383 97.85
"724" 74094 92.92
"725" 71900 75.92
"726" 72256 77.91
"727" 69143 63.37
"728" 65841 74.51
"729" 63280 67.81
"730" 61276 58.25
"731" 59916 53.05
"732" 59022 49.98
"733" 57285 52.9
"734" 55155 49.07
"735" 58454 54.04
"736" 62997 65.75
"737" 67028 82.81
"738" 69264 88.97
"739" 70124 88.53
"740" 68846 84.99
"741" 66833 77.17
"742" 64910 58.28
"743" 64409 50.48
"744" 64289 47.52
"745" 69018 68.48
"746" 70867 94.13
"747" 68670 85.99
"748" 64581 73.66
"749" 62876 57.56
"750" 65090 64.54
"751" 63051 54.05
"752" 60758 55.3
"753" 58012 48.06
"754" 56189 43.72
"755" 54988 41.98
"756" 54007 40.58
"757" 52233 38.03
"758" 48402 29.75
"759" 49738 31.54
"760" 53496 36.91
"761" 57798 42.96
"762" 60758 48.99
"763" 63381 60.16
"764" 62103 54.92
"765" 59652 46.91
"766" 58175 43.77
"767" 57252 42.31
"768" 57626 42.63
"769" 63055 50.83
"770" 67560 75.05
"771" 66594 65.38
"772" 63935 59.97
"773" 63397 53.36
"774" 65901 59.98
"775" 62666 45.94
"776" 60300 45.48
"777" 58543 46.29
"778" 57265 44.98
"779" 56686 41.62
"780" 57284 38.06
"781" 60585 44.29
"782" 68443 51.2
"783" 76223 94.4
"784" 77448 93.12
"785" 76072 90.97
"786" 73842 73.07
"787" 73005 72.07
"788" 68643 51.96
"789" 65369 49.1
"790" 63439 43.23
"791" 62774 35.04
"792" 62013 29.64
"793" 62503 32.52
"794" 64701 38.04
"795" 71582 44.08
"796" 78829 80.1
"797" 81470 81.02
"798" 81890 81.03
"799" 82701 87.92
"800" 83590 90.2
"801" 82967 87.96
"802" 82533 90.04
"803" 81985 87.11
"804" 81032 81.06
"805" 80057 77.12
"806" 81962 87.93
"807" 82989 90.02
"808" 80082 88.76
"809" 75860 82.56
"810" 73172 60.38
"811" 72224 53.06
"812" 67493 44.46
"813" 63777 35.47
"814" 61469 32.37
"815" 60007 38.39
"816" 59779 38.04
"817" 60535 32.9
"818" 63259 42.19
"819" 69906 43.61
"820" 77163 68.06
"821" 79540 69.66
"822" 80227 77.11
"823" 81433 78.99
"824" 82308 82.58
"825" 81194 83.4
"826" 80764 78.71
"827" 79968 79.89
"828" 78962 70.19
"829" 77709 57.16
"830" 80688 72.5
"831" 83183 75.02
"832" 81173 62.43
"833" 77000 56.9
"834" 75011 46.53
"835" 74156 44.16
"836" 70008 29.08
"837" 66835 43.67
"838" 64678 42.6
"839" 63157 38.32
"840" 62679 35.23
"841" 63124 35.22
"842" 65353 42.37
"843" 71413 44.26
"844" 78037 82.6
"845" 79578 87.92
"846" 80120 80.7
"847" 81109 81.6
"848" 81888 87.59
"849" 81217 85.56
"850" 80810 87.58
"851" 79966 85.82
"852" 79226 80.59
"853" 77864 81.01
"854" 80005 90.57
"855" 75996 79.86
"856" 73617 55.3
"857" 73022 51.69
"858" 68653 42.89
"859" 65254 42.1
"860" 63246 35.3
"861" 61800 38.66
"862" 60948 38.36
"863" 61693 36.97
"864" 63928 45.62
"865" 69607 51.95
"866" 76388 90
"867" 78546 92.51
"868" 78981 90.95
"869" 79716 95.87
"870" 80470 97.19
"871" 78016 97
"872" 76698 94.47
"873" 75511 90.06
"874" 74920 88.92
"875" 77958 96.15
"876" 72505 96.92
"877" 70584 78.3
"878" 70582 79.93
"879" 67106 58.63
"880" 63915 63
"881" 61398 51.96
"882" 59751 45.08
"883" 58805 42.72
"884" 58243 38.38
"885" 56780 42.79
"886" 55044 42.86
"887" 57986 49.99
"888" 62001 64.21
"889" 65945 80.96
"890" 67395 91.84
"891" 68655 90.97
"892" 67576 89.03
"893" 65572 79.5
"894" 63740 64.29
"895" 63053 56.2
"896" 62950 56.09
"897" 67007 80.99
"898" 70593 92.95
"899" 68485 89.48
"900" 64421 77.06
"901" 62881 59.64
"902" 64407 72.36
"903" 61711 59.42
"904" 58413 55.38
"905" 56035 45.09
"906" 54668 41.96
"907" 53699 42.56
"908" 52852 43.09
"909" 51133 41.18
"910" 47717 29.77
"911" 48854 30.51
"912" 52550 34.04
"913" 56819 42.05
"914" 59783 45.99
"915" 62491 63.72
"916" 60741 52.76
"917" 58156 46.16
"918" 56363 44.99
"919" 55608 41.54
"920" 55820 40.73
"921" 60989 58.69
"922" 66680 80.97
"923" 66198 80.92
"924" 63592 73.05
"925" 62593 64.93
"926" 65028 70.06
"927" 61716 60.05
"928" 58915 51.08
"929" 56959 49.19
"930" 56012 45.27
"931" 55681 41.82
"932" 56712 43.05
"933" 59986 51.97
"934" 67812 59.4
"935" 74969 98.04
"936" 75193 95.64
"937" 73678 90.97
"938" 75346 92.3
"939" 72569 81.13
"940" 71546 82
"941" 67289 61.27
"942" 63829 56.06
"943" 62107 58.24
"944" 60672 53.78
"945" 59950 47.72
"946" 60676 44.76
"947" 62782 57.27
"948" 69174 79.93
"949" 77584 95.63
"950" 76484 90.75
"951" 75216 88.99
"952" 77717 92.36
"953" 81224 99.9
"954" 79335 99.96
"955" 72146 86.31
"956" 71288 73.45
"957" 66671 58.43
"958" 62873 54.86
"959" 60370 50.36
"960" 59248 48.01
"961" 58951 47.63
"962" 59921 43.91
"963" 62485 50.06
"964" 68734 56.08
"965" 75738 87.27
"966" 78357 87.91
"967" 78681 90.1
"968" 79874 89.91
"969" 81406 87.96
"970" 81057 86.95
"971" 80811 82.02
"972" 79809 83.21
"973" 79130 79.01
"974" 78182 72.24
"975" 80268 79.1
"976" 82397 81.96
"977" 79719 87.76
"978" 75353 84.07
"979" 72363 62.26
"980" 71295 64
"981" 66133 53.04
"982" 61711 50.05
"983" 59044 48.77
"984" 57773 48.03
"985" 57772 41.99
"986" 59104 44.24
"987" 61659 47.96
"988" 68192 55.3
"989" 75052 83.08
"990" 77300 87.52
"991" 77453 89.1
"992" 78270 91.52
"993" 79550 93.91
"994" 78394 87.19
"995" 77790 86.99
"996" 76469 88.73
"997" 75360 83.06
"998" 74720 77.16
"999" 77167 86.98
"1000" 80594 91.94
"1001" 78550 89.1
"1002" 74033 85.01
"1003" 71100 70.19
"1004" 69998 71.96
"1005" 65223 54.43
"1006" 61235 52.68
"1007" 58531 52.06
"1008" 57302 43.29
"1009" 57351 37.2
"1010" 58706 39.63
"1011" 61295 42.69
"1012" 67410 55.36
"1013" 73922 92.1
"1014" 76170 83.19
"1015" 76311 88.58
"1016" 77391 89.63
"1017" 78176 90.52
"1018" 77046 83.34
"1019" 75747 79.96
"1020" 74418 72.98
"1021" 73242 69.24
"1022" 72289 65.65
"1023" 75117 82.51
"1024" 78876 89.07
"1025" 76370 79.93
"1026" 71426 77.17
"1027" 68891 52.51
"1028" 68560 46.71
"1029" 64335 50
"1030" 60385 48.94
"1031" 57559 46.92
"1032" 56037 48.01
"1033" 55875 46.93
"1034" 55946 47.03
"1035" 55000 47
"1036" 53699 46.12
"1037" 56970 49.41
"1038" 61045 55.33
"1039" 64648 58.21
"1040" 66097 72.53
"1041" 67504 74.74
"1042" 66147 70.42
"1043" 64012 55.39
"1044" 62158 50.42
"1045" 60966 48.75
"1046" 60609 45.95
"1047" 63988 50.46
"1048" 68762 74.96
"1049" 66587 64.27
"1050" 62353 51.96
"1051" 60486 54.06
"1052" 61258 64.92
"1053" 57792 48.91
"1054" 54054 46.9
"1055" 51352 40.23
"1056" 50052 39.96
"1057" 49683 38.27
"1058" 49783 38.23
"1059" 48834 36.45
"1060" 45882 26.13
"1061" 47111 29.79
"1062" 50565 34.62
"1063" 54449 39.24
"1064" 57402 46.98
"1065" 60004 52.11
"1066" 58260 53.51
"1067" 55429 43.23
"1068" 53693 39.12
"1069" 52686 36.2
"1070" 52983 35.34
"1071" 56975 42.68
"1072" 63840 61.07
"1073" 64098 55.38
"1074" 61296 46.69
"1075" 60442 44.84
"1076" 62377 54.68
"1077" 58141 43.15
"1078" 54671 43.94
"1079" 52166 41.91
"1080" 51538 39.83
"1081" 52013 37.18
"1082" 53820 34.47
"1083" 58091 40.97
"1084" 66385 46.58
"1085" 73690 83.92
"1086" 76321 94.03
"1087" 77004 89.41
"1088" 77985 80.38
"1089" 79487 82.98
"1090" 78617 90.08
"1091" 78373 87.94
"1092" 77402 86.45
"1093" 76660 82.53
"1094" 75344 75.14
"1095" 77052 86.48
"1096" 80012 93.04
"1097" 78192 81.1
"1098" 73749 86.35
"1099" 70802 62.01
"1100" 70056 57.07
"1101" 64852 44.87
"1102" 61018 44.71
"1103" 59101 43.98
"1104" 57891 42.45
"1105" 57952 40.79
"1106" 59252 42.81
"1107" 62142 44.83
"1108" 68634 57.51
"1109" 75148 84.39
"1110" 77379 83.17
"1111" 77906 80.51
"1112" 78668 82.53
"1113" 79764 86.4
"1114" 78682 89.03
"1115" 78020 90.16
"1116" 77174 89.98
"1117" 76717 87.91
"1118" 75633 69.61
"1119" 77616 84.08
"1120" 81454 87.91
"1121" 79437 84.01
"1122" 75493 82.25
"1123" 72180 63.34
"1124" 70688 60.93
"1125" 65777 49.41
"1126" 61981 44.7
"1127" 59437 39.94
"1128" 58130 40.07
"1129" 57948 40.24
"1130" 58934 38.15
"1131" 61762 42.91
"1132" 68180 49.87
"1133" 74958 81.87
"1134" 77561 96.74
"1135" 78084 89.47
"1136" 79431 97.09
"1137" 80602 91.52
"1138" 79661 94.93
"1139" 78989 95.54
"1140" 78190 91.55
"1141" 76943 89.46
"1142" 75629 80.51
"1143" 77329 88.98
"1144" 78725 92.04
"1145" 74558 86.34
"1146" 71836 78.97
"1147" 70557 78.49
"1148" 65645 54.93
"1149" 62224 57.74
"1150" 59895 46.67
"1151" 58757 45.18
"1152" 58522 39.92
"1153" 59351 46.03
"1154" 61556 50.03
"1155" 67964 68.09
"1156" 74099 98.18
"1157" 76522 97.27
"1158" 75222 89.94
"1159" 73947 88.94
"1160" 75363 89.43
"1161" 77553 91.16
"1162" 73529 87.81
"1163" 70644 78.94
"1164" 70273 63.34
"1165" 66102 53.96
"1166" 62676 59.99
"1167" 60829 50.03
"1168" 59525 47.12
"1169" 59192 47.12
"1170" 59704 47.02
"1171" 61839 44.2
"1172" 67202 57.4
"1173" 72911 90.02
"1174" 75101 99.41
"1175" 75956 91.39
"1176" 76985 90.02
"1177" 77983 87.99
"1178" 77053 82.52
"1179" 75799 69.66
"1180" 74701 65.49
"1181" 73397 50.94
"1182" 72387 47.52
"1183" 74050 53.64
"1184" 78376 68.02
"1185" 76970 55.41
"1186" 72635 63.91
"1187" 69823 50.76
"1188" 69498 49.39
"1189" 65725 43.73
"1190" 62557 40.76
"1191" 60235 38.75
"1192" 58483 35.3
"1193" 57529 40.94
"1194" 56988 41.84
"1195" 55475 37.36
"1196" 53820 28.83
"1197" 56166 30.01
"1198" 60632 38.31
"1199" 64232 46.54
"1200" 66023 49.62
"1201" 67397 48.59
"1202" 65682 47.87
"1203" 63626 43.9
"1204" 61858 41.14
"1205" 61105 38.39
"1206" 60860 39.66
"1207" 63678 45.56
"1208" 68433 79.91
"1209" 66996 48.53
"1210" 63006 41.53
"1211" 61360 37.65
"1212" 62761 41.9
"1213" 60070 37.4
"1214" 57338 43.88
"1215" 54802 41.46
"1216" 53399 40.28
"1217" 52221 41.08
"1218" 51419 40.47
"1219" 49876 39.15
"1220" 46601 28.81
"1221" 47341 25.46
"1222" 51620 33.45
"1223" 55717 36.57
"1224" 58901 43.17
"1225" 62073 45.57
"1226" 60475 43.53
"1227" 57423 41.73
"1228" 55310 39.04
"1229" 54331 36.02
"1230" 54057 34.59
"1231" 56649 41.02
"1232" 63502 52.97
"1233" 64329 55.02
"1234" 61864 47.42
"1235" 61373 47.1
"1236" 63876 67.32
"1237" 61108 46.17
"1238" 58876 45.45
"1239" 57164 44.03
"1240" 55994 43.52
"1241" 55372 41.87
"1242" 55917 42.22
"1243" 58296 43.18
"1244" 63134 43.55
"1245" 68055 63.92
"1246" 71412 80.03
"1247" 73126 82.5
"1248" 74630 86.92
"1249" 75430 89.91
"1250" 74585 86.91
"1251" 73048 87.9
